# Model:              test dfgsj
# Version:            hsi 0.0.1
# Date:               Jan 23 2021, 07:14
# Wavelengths:        100
# Base vectors:       5
# Test spectra:       16
# Test shape:         (100, 4, 4)
# Table:              Base vector parameters
# Base                    Label                     Weight                    Lower bound               Upper bound
0                         HHB                       0.005                     0                         0.05
1                         O2Hb                      0.005                     0                         0.05
2                         Water                     0.7                       0                         1
3                         Fat                       0.7                       0                         1
4                         Melanin                   0.025                     0                         0.05
# Table:              Spectral data
# Wavelength [nm]         Base 0                    Base 1                    Base 2                    Base 3                    Base 4                    Spec 0                    Spec 1                    Spec 2                    Spec 3                    Spec 4                    Spec 5                    Spec 6                    Spec 7                    Spec 8                    Spec 9                    Spec 10                   Spec 11                   Spec 12                   Spec 13                   Spec 14                   Spec 15
560                       0.772935                  0.709665                  0.442495                  0.451259                  0.695466                  0.772935                  0.709665                  0.964751                  0.912413                  0.442495                  0.451259                  0.695466                  0.884074                  1.20165                   1.1424                    0.996065                  1.01074                   1.02229                   1.03762                   0.963664                  0.976465
565                       0.764711                  0.720152                  0.442367202951975         0.450460082900941         0.688035                  0.764711                  0.720152                  0.952185                  0.91732                   0.442367202951975         0.450460082900941         0.688035                  0.873252                  1.18615                   1.14601                   1.0008                    1.01075                   1.02932                   1.03887                   0.966463                  0.975988
570                       0.754079                  0.752091                  0.44223                   0.449702                  0.681140593699621         0.754079                  0.752091                  0.937406                  0.936164                  0.44223                   0.449702                  0.681140593699621         0.862307997367533         1.16948                   1.16559                   1.02867                   1.02927                   1.05837                   1.05765                   0.992942                  0.991821
575                       0.742232                  0.781448                  0.443046075541754         0.449396347133265         0.674279                  0.742232                  0.781448                  0.923186                  0.955195                  0.443046075541754         0.449396347133265         0.674279                  0.851625                  1.15102                   1.1873                    1.05416                   1.04777                   1.08448                   1.07803                   1.01553                   1.00836
580                       0.731795                  0.771626                  0.444362                  0.449088                  0.667301                  0.731795                  0.771626                  0.90907                   0.9435                    0.444362                  0.449088                  0.667301                  0.841408                  1.13269                   1.17188                   1.04046                   1.03373                   1.07082                   1.06315                   1.00193                   0.995113
585                       0.721092                  0.709189                  0.445583244881011         0.448296653566            0.661746                  0.721092                  0.709189                  0.896399                  0.88738                   0.445583244881011         0.448296653566            0.661746                  0.831496                  1.11654                   1.10461                   0.973476                  0.975234                  1.00001                   1.00219                   0.938681                  0.940124
590                       0.703022                  0.631601                  0.446967                  0.447308                  0.655186572044494         0.703022                  0.631601                  0.87554                   0.818397                  0.446967                  0.447308                  0.655186572044494         0.821584150441342         1.09023                   1.02157                   0.886724                  0.904316                  0.906047                  0.925466                  0.857355                  0.874194
595                       0.671796                  0.570401                  0.448795319934205         0.446562663602737         0.648622                  0.671796                  0.570401                  0.845949                  0.764298                  0.448795319934205         0.446562663602737         0.648622                  0.812268                  1.05333                   0.955345                  0.815319                  0.844839                  0.83173                   0.863138                  0.792876                  0.819734
600                       0.635612                  0.525904                  0.450598                  0.446355                  0.643452                  0.635612                  0.525904                  0.812374                  0.723774                  0.450598                  0.446355                  0.643452                  0.803882                  1.01124                   0.90533                   0.76301                   0.795947                  0.78                      0.813739                  0.746415                  0.777106
605                       0.612648858348188         0.503661781463279         0.451891725382171         0.446779567023053         0.638247812110192         0.612648858348188         0.503661781463279         0.789012886798806         0.700985739978848         0.451891725382171         0.446779567023053         0.638247812110192         0.795167319979423         0.981758352230236         0.876355331846471         0.734073736568272         0.768600056451983         0.749142857736288         0.7839996237113           0.720430681885684         0.751836947553496
610                       0.598667                  0.494897                  0.452893                  0.447278                  0.632730816573055         0.598667                  0.494897                  0.77281                   0.688977                  0.452893                  0.447278                  0.632730816573055         0.786082228544005         0.961041                  0.860177                  0.719479                  0.754067                  0.731434                  0.76671                   0.706871                  0.737008
615                       0.585225096338597         0.488361825232707         0.453881153537112         0.44728281830505          0.627117662749389         0.585225096338597         0.488361825232707         0.757211342681546         0.678758570615814         0.453881153537112         0.44728281830505          0.627117662749389         0.777015772836584         0.94083968494914          0.846286584162392         0.708125182225716         0.740080536524604         0.718430805185526         0.751912249384533         0.696007694519302         0.723698434900166
620                       0.572942                  0.481824                  0.454687                  0.446843                  0.621625                  0.572942                  0.481824                  0.74272                   0.668634                  0.454687                  0.446843                  0.621625                  0.768357                  0.921921                  0.832939                  0.697267                  0.726251                  0.706919                  0.7382                    0.685486                  0.711121
625                       0.564020506297423         0.475431417605894         0.45513766046938          0.446239659756746         0.61642517695192          0.564020506297423         0.475431417605894         0.730996367475011         0.658823227557893         0.45513766046938          0.446239659756746         0.61642517695192          0.760392680923673         0.906510657973204         0.820457331503962         0.686512159528864         0.714572047449603         0.695490546521609         0.726172003750566         0.675048790037106         0.70021581284584
